,link,region,rating,ratingCount,lat,lon
Beezley Hills Preserve,http://www.wta.org/go-hiking/hikes/beezley-hills-preserve,Central Washington -- Grand Coulee,2.12,8,47.3243,-119.7809
Bellevue Botanical Garden,http://www.wta.org/go-hiking/hikes/bellevue-botanical-garden,Puget Sound and Islands -- Seattle-Tacoma Area,5.0,1,47.61,-122.1781
Bells Mountain,http://www.wta.org/go-hiking/hikes/bells-mt,Southwest Washington -- Columbia River Gorge - WA,3.33,3,45.8286,-122.3877
Bench Lake Loop,http://www.wta.org/go-hiking/hikes/bench-lake-loop,South Cascades -- Mount Adams Area,0.0,0,,
Bench and Snow Lakes,http://www.wta.org/go-hiking/hikes/bench-lake,Mount Rainier Area -- SE - Cayuse Pass/Steven's Canyon,4.18,11,46.7602,-121.6391
Berkeley Park,http://www.wta.org/go-hiking/hikes/berkeley-park,Mount Rainier Area -- NE - Sunrise/White River,3.11,9,46.9146,-121.6423
Bertha May and Granite Lakes,http://www.wta.org/go-hiking/hikes/bertha-may-and-granite-lakes,South Cascades -- White Pass/Cowlitz River Valley,0.0,0,46.7069,-121.937
Bessemer Mountain,http://www.wta.org/go-hiking/hikes/bessemer-mountain,Snoqualmie Region -- North Bend Area,3.0,5,47.5159,-121.6134
Bessequartz Peak,http://www.wta.org/go-hiking/hikes/bessequartz,Snoqualmie Region,5.0,1,,
Big Bend/Landsburg Reach Natural Area,http://www.wta.org/go-hiking/hikes/big-bend-natural-area,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.3751,-121.9712
Big Burn Canyon,http://www.wta.org/go-hiking/hikes/big-burn-canyon,Central Washington -- Yakima,3.5,4,,
Big Cedar Tree,http://www.wta.org/go-hiking/hikes/big-cedar-tree,Olympic Peninsula -- Olympia,0.0,0,47.478,-123.9034
Big Chief Mountain,http://www.wta.org/go-hiking/hikes/big-chief-mtn-5858,Central Cascades -- Stevens Pass - West,2.0,3,,
Big Craggy Peak,http://www.wta.org/go-hiking/hikes/big-craggy-peak,North Cascades -- Pasayten,0.0,0,,
Big Creek,http://www.wta.org/go-hiking/hikes/big-creek,Olympic Peninsula -- Hood Canal,3.36,11,47.4933,-123.211
Big Creek Falls,http://www.wta.org/go-hiking/hikes/big-creek-falls-1,Southwest Washington -- Lewis River Region,2.6,5,46.0939,-121.9073
Big Finn Hill Park,http://www.wta.org/go-hiking/hikes/big-finn-hill,Puget Sound and Islands -- Seattle-Tacoma Area,4.0,1,47.7243,-122.2368
Big Flat Habitat Management Unit,http://www.wta.org/go-hiking/hikes/big-flat-habitat-management-unit,Central Washington -- Tri-Cities,3.5,4,,
Big Four Ice Caves,http://www.wta.org/go-hiking/hikes/big-four-ice-caves,North Cascades -- Mountain Loop Highway,3.89,64,48.0659,-121.5107
Big Four Ice Caves Snowshoe,http://www.wta.org/go-hiking/hikes/big-four-ice-caves-snowshoe,North Cascades -- Mountain Loop Highway,3.5,4,48.0651,-121.5068
Big Gulch,http://www.wta.org/go-hiking/hikes/big-gulch-mukilteo,Puget Sound and Islands -- Seattle-Tacoma Area,5.0,1,47.915,-122.2976
Big Lava Bed,http://www.wta.org/go-hiking/hikes/big-lava-bed,South Cascades -- Mount Adams Area,3.4,5,45.908,-121.8024
Big Rock,http://www.wta.org/go-hiking/hikes/big-rock,Eastern Washington -- Spokane Area/Coeur d'Alene,3.0,1,47.572,-117.2897
Big Snagtooth,http://www.wta.org/go-hiking/hikes/big-snagtooth,North Cascades -- North Cascades Highway - Hwy 20,0.0,0,48.548,-120.6306
Big Tree Ridge,http://www.wta.org/go-hiking/hikes/big-tree-ridge,Issaquah Alps -- Cougar Mountain,3.25,4,47.5474,-122.0713
Big Tree Trail,http://www.wta.org/go-hiking/hikes/big-tree-trail,Issaquah Alps -- Tiger Mountain,3.4,5,47.5296,-121.9961
Billy Clapp Lake,http://www.wta.org/go-hiking/hikes/billy-clapp-lake,Central Washington -- Wenatchee,2.25,4,47.4525,-119.2531
Billy Goat,http://www.wta.org/go-hiking/hikes/billy-goat,North Cascades -- Pasayten,2.75,4,48.7825,-120.3179
Billy Goat Loop,http://www.wta.org/go-hiking/hikes/billy-goat-loop,North Cascades -- Pasayten,0.0,0,,
Birch Bay State Park,http://www.wta.org/go-hiking/hikes/birch-bay-state-park,Puget Sound and Islands -- Bellingham Area,0.0,0,48.9069,-122.766
Bird Creek Meadows,http://www.wta.org/go-hiking/hikes/bird-creek-meadows,South Cascades -- Mount Adams Area,4.0,6,46.1393,-121.4376
Bird Mountain Loop,http://www.wta.org/go-hiking/hikes/bird-mountain-loop,South Cascades -- Mount Adams Area,2.86,7,46.0471,-121.7561
Bishop Ridge,http://www.wta.org/go-hiking/hikes/bishop-ridge,South Cascades -- Dark Divide,3.0,4,46.4323,-121.7626
Black Canyon,http://www.wta.org/go-hiking/hikes/black-canyon,Central Washington -- Yakima,4.4,10,46.8581,-120.6982
Black Hole Falls Hike,http://www.wta.org/black-hole-falls-hike,South Cascades,0.0,0,,
Black Lake,http://www.wta.org/go-hiking/hikes/black-lake,North Cascades -- Pasayten,2.29,7,48.7831,-120.1613
Black Peak,http://www.wta.org/go-hiking/hikes/black-peak,North Cascades -- North Cascades Highway - Hwy 20,3.0,1,48.5182,-120.7339
Blackbird Island - Waterfront Park,http://www.wta.org/go-hiking/hikes/blackbird-island-waterfront-park,Central Cascades -- Leavenworth Area,0.0,0,47.5737,-120.6436
Blake Island State Park,http://www.wta.org/go-hiking/hikes/blake-island-state-park,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.5423,-122.4829
Blanca Lake,http://www.wta.org/go-hiking/hikes/blanca-lake,Central Cascades -- Stevens Pass - West,4.4,96,47.9154,-121.3124
Blanchard Hill-Incline Alternate Trail,http://www.wta.org/go-hiking/hikes/incline-alternate-blanchard-hill,Puget Sound and Islands -- Bellingham Area,5.0,1,,
Blowdown Mountain Road,http://www.wta.org/go-hiking/hikes/blowdown-mountain-road,Snoqualmie Region -- North Bend Area,0.0,0,,
Blowout Mountain,http://www.wta.org/go-hiking/hikes/blowout-mountain,Snoqualmie Region -- Snoqualmie Pass,3.0,4,,
Blue Horse Trail,http://www.wta.org/go-hiking/hikes/blue-horse-trail,South Cascades -- Mount St. Helens,2.5,6,46.1691,-122.2601
Blue Lake,http://www.wta.org/go-hiking/hikes/blue-lake-2,South Cascades -- Mount Adams Area,2.17,6,46.0471,-121.7561
Blue Lake Creek,http://www.wta.org/go-hiking/hikes/blue-lake-creek,South Cascades -- Dark Divide,2.86,7,46.4037,-121.7358
Blue Lake High,http://www.wta.org/go-hiking/hikes/blue-lake-high,Central Cascades -- Stevens Pass - East,3.5,4,48.0448,-121.2588
Blue Lake and Sheep Canyon via South Fork Toutle,http://www.wta.org/go-hiking/hikes/blue-lake-south-fork-toutle,South Cascades -- Mount St. Helens,2.5,4,46.1458,-122.1834
Blue Mountain - Deer Park Snowshoe,http://www.wta.org/go-hiking/hikes/blue-mountain-deer-park-snowshoe,Olympic Peninsula,3.5,2,,
Bluff Mountain,http://www.wta.org/go-hiking/hikes/bluff-mountain,Southwest Washington -- Lewis River Region,2.5,6,45.7423,-122.191
Boardman Lake,http://www.wta.org/go-hiking/hikes/boardman-lake,North Cascades -- Mountain Loop Highway,3.23,13,48.0337,-121.6858
Boardman Lake Snowshoe,http://www.wta.org/go-hiking/hikes/boardman-lake-snowshoe,North Cascades -- Mountain Loop Highway,1.5,2,48.0336,-121.6851
Bobs Lakes,http://www.wta.org/go-hiking/hikes/bobs-lakes,Central Washington -- Potholes Region,3.5,4,,
Bogachiel River,http://www.wta.org/go-hiking/hikes/bogachiel-river,Olympic Peninsula -- Pacific Coast,3.1,10,47.8822,-124.275
Bonneville Trail,http://www.wta.org/go-hiking/hikes/bonneville-trail,Issaquah Alps -- Tiger Mountain,3.0,4,47.5295,-122.0087
Bootjack Mountain,http://www.wta.org/go-hiking/hikes/bootjack-mountain,Central Cascades -- Leavenworth Area,3.71,7,47.6101,-120.9451
Bootleg Trail,http://www.wta.org/go-hiking/hikes/bootleg,Issaquah Alps -- Tiger Mountain,3.25,4,47.5304,-121.9436
Bordeaux Ghost Town,http://www.wta.org/go-hiking/hikes/bordeaux-ghost-town,Olympic Peninsula -- Olympia,4.0,1,46.8951,-123.084
Boston Peak,http://www.wta.org/go-hiking/hikes/boston-peak,North Cascades -- North Cascades Highway - Hwy 20,0.0,0,,
Boulder Cave,http://www.wta.org/go-hiking/hikes/boulder-cave,Mount Rainier Area -- Chinook Pass - Hwy 410,3.6,5,46.915,-121.0523
Boulder Creek Trail,http://www.wta.org/go-hiking/hikes/boulder-creek-trail,North Cascades -- Methow/Sawtooth,0.0,0,,
Boulder Garden Loop,http://www.wta.org/go-hiking/hikes/boulder-garden-loop,Snoqualmie Region -- North Bend Area,3.75,4,47.4874,-121.7556
Boulder Lake,http://www.wta.org/go-hiking/hikes/boulder-lake-2,North Cascades -- Mountain Loop Highway,3.0,2,48.3206,-121.3699
Boulder Lake (Olympics),http://www.wta.org/go-hiking/hikes/boulder-lake-1,Olympic Peninsula -- Northern Coast,3.0,5,47.9775,-123.6861
Boulder Ridge,http://www.wta.org/go-hiking/hikes/boulder-ridge,North Cascades,4.25,4,48.714,-121.6903
Boulder River,http://www.wta.org/go-hiking/hikes/boulder-river,North Cascades -- Mountain Loop Highway,3.76,79,48.2509,-121.8172
Boundary Trail - Pasayten,http://www.wta.org/go-hiking/hikes/boundary-trail-1,North Cascades -- Pasayten,3.25,4,48.8848,-119.8667
Boundary Way,http://www.wta.org/go-hiking/hikes/boundary-way,North Cascades -- Mount Baker Area,3.0,4,48.9869,-121.9346
Boundary West,http://www.wta.org/go-hiking/hikes/boundary,South Cascades -- Mount St. Helens,3.0,6,46.2869,-122.2717
Bourdeaux Ghost Town,http://www.wta.org/go-hiking/hikes/bourdeaux-ghost-town,Olympic Peninsula,4.5,2,46.8951,-123.084
Box Canyon and Nickel Creek,http://www.wta.org/go-hiking/hikes/box-canyon-of-the-cowlitz,Mount Rainier Area -- SE - Cayuse Pass/Steven's Canyon,3.2,5,46.7653,-121.6362
Box Ridge,http://www.wta.org/go-hiking/hikes/box-ridge,Snoqualmie Region -- Snoqualmie Pass,2.0,1,,
Box Spring Canyon,http://www.wta.org/go-hiking/hikes/box-spring-canyon,Central Washington -- Yakima,0.0,0,46.871,-120.8261
Boyer Park Bluffs,http://www.wta.org/go-hiking/hikes/boyer-park-bluffs,Eastern Washington -- Palouse and Blue Mountains,4.5,4,,
Breazeale Interpretive Center,http://www.wta.org/go-hiking/hikes/upland-trail-breazeale-interpretive-center,Puget Sound and Islands -- Bellingham Area,3.0,1,48.4837,-122.4777
Breccia Peak,http://www.wta.org/go-hiking/hikes/breccia-peak,North Cascades -- Mountain Loop Highway,0.0,0,,
Breeden Road - Wall Lake,http://www.wta.org/go-hiking/hikes/breeden-road-wall-lake,Eastern Washington -- Spokane Area/Coeur d'Alene,4.0,5,,
Bridal Veil Falls,http://www.wta.org/go-hiking/hikes/bridal-veil-falls,Central Cascades -- Stevens Pass - West,3.6,30,47.7818,-121.5884
Bridge Creek - McAlester Pass to Stehekin,http://www.wta.org/go-hiking/hikes/bridge-creek,North Cascades -- North Cascades Highway - Hwy 20,3.75,4,48.5075,-120.7312
Bridge Trail - (Hardy Ridge Connector),http://www.wta.org/go-hiking/hikes/hardy-ridge-connector,Southwest Washington -- Columbia River Gorge - WA,2.33,3,45.6589,-122.0218
Bridle Trails State Park,http://www.wta.org/go-hiking/hikes/bridle-trails-state-park-bellevue,Puget Sound and Islands,3.0,3,47.655,-122.1843
Brightwater Center,http://www.wta.org/go-hiking/hikes/brightwater-center-king-county,Puget Sound and Islands -- Seattle-Tacoma Area,0.0,0,47.7904,-122.1415
Brink Trail,http://www.wta.org/go-hiking/hikes/brink-trail,Issaquah Alps -- Tiger Mountain,3.75,4,47.5296,-121.9957
Buck Creek Pass,http://www.wta.org/go-hiking/hikes/buck-creek-pass,Central Cascades -- Stevens Pass - East,3.8,5,48.0771,-120.8579
Buck Mountain Snowshoe,http://www.wta.org/go-hiking/hikes/buck-mountain-snowshoe,North Cascades -- Methow/Sawtooth,4.5,2,,
Buckhorn Mountain,http://www.wta.org/go-hiking/hikes/buckhorn-mountain,Olympic Peninsula -- Hood Canal,0.0,0,47.8268,-123.1166
Buckner Orchard Walk,http://www.wta.org/go-hiking/hikes/buckner-orchard-walk,Central Cascades -- Entiat Mountains/Lake Chelan,0.0,0,48.3405,-120.7025
Buckskin Ridge,http://www.wta.org/go-hiking/hikes/buckskin-ridge,North Cascades -- Pasayten,3.5,4,48.7338,-120.6752
Bullion Basin,http://www.wta.org/go-hiking/hikes/bullion-basin,Mount Rainier Area -- Chinook Pass - Hwy 410,3.4,5,46.9378,-121.4746
Bullion Basin Snowshoe,http://www.wta.org/go-hiking/hikes/bullion-basin-snowshoe,Mount Rainier Area -- Chinook Pass - Hwy 410,4.5,2,46.9386,-121.4731
Bullitt Access Trail,http://www.wta.org/go-hiking/hikes/bullitt-access,Issaquah Alps -- Squak Mountain,2.75,4,47.523,-122.0576
Bullitt Fireplace Trail,http://www.wta.org/go-hiking/hikes/bullitt-fireplace,Issaquah Alps -- Squak Mountain,1.75,4,47.5211,-122.056
Bullitt Gorge,http://www.wta.org/go-hiking/hikes/bullitt-gorge,Issaquah Alps -- Squak Mountain,2.4,5,47.5055,-122.0558
Bumping Lake,http://www.wta.org/go-hiking/hikes/bumping-lake,Mount Rainier Area -- Chinook Pass - Hwy 410,2.75,4,46.857,-121.3199
Bunker Hill,http://www.wta.org/go-hiking/hikes/bunker-hill,Southwest Washington -- Columbia River Gorge - WA,3.5,4,45.8073,-121.9406
Burch Mountain,http://www.wta.org/go-hiking/hikes/burch-mountain,North Cascades -- Pasayten,2.0,4,48.7844,-120.3177
Burley Mountain,http://www.wta.org/go-hiking/hikes/burley-mountain,South Cascades -- Dark Divide,2.5,4,46.3999,-121.8702
Burnt Bridge Creek - Eastern Section,http://www.wta.org/go-hiking/hikes/burnt-creek-bridge-eastern-section,Southwest Washington -- Vancouver Area,0.0,0,45.6359,-122.5802
